,Brand,Year,Model,Distance_in_k,Fuel_type,Transmission_type,Emi_amount,Area,Prices_in_lakhs
272, KIA,2021,SONET,9.30k,Petrol,Manual,"16,636"," Kandivali, Mumbai",8.74 lakh
273, Hyundai,2015,i10,19.73k,Petrol,Manual,"6,785"," Mulund West, Mumbai 
",3.05 lakh
274, Maruti,2018,Baleno,29.79k,Petrol,Manual,"9,697"," Goregaon, Mumbai",4.96 lakh
275, Maruti,2020,Alto,10.51k,Petrol,Manual,"6,100"," Mulund West, Mumbai 
",3.12 lakh
276, Hyundai,2023,EXTER,11.84k,Petrol,Manual,"14,565"," Seawood
",7.45 lakh
277, Hyundai,2016,Elite,212.01k,Petrol,Manual,"9,149"," Goregaon, Mumbai",4.68 lakh
278, Tata,2022,PUNCH,12.35k,Petrol,Manual,"11,828"," Kandivali, Mumbai",6.05 lakh
279, Tata,2022,ALTROZ,12.71k,Petrol,Auto,"14,917"," Kandivali, Mumbai",7.63 lakh
280, Tata,2024,ALTROZ,4.89k,Petrol,Manual,"15,333"," Goregaon, Mumbai",7.84 lakh
281, Hyundai,2024,Creta,2.93k,Petrol,Auto,"39,134"," Mulund West, Mumbai 
",20.56 lakh
282, Honda,2024,Amaze,3.55k,Petrol,Auto,"16,331"," Goregaon, Mumbai",8.58 lakh
283, Maruti,2023,New,016.69k,CNG,Manual,"11,515"," Seawood
",5.89 lakh
284, Hyundai,2023,NEW,25.70k,Petrol,Auto,"15,227"," Goregaon, Mumbai",8.00 lakh
285, Tata,2023,PUNCH,17.16k,CNG,Manual,"16,564"," Mulund West, Mumbai 
",8.70 lakh
286, Tata,2023,ALTROZ,37.51k,CNG,Manual,"15,621"," Regency Anantam, Dombivli East",7.99 lakh
287, Tata,2023,TIGOR,5.04k,CNG,Manual,"12,414"," Seawood
",6.35 lakh
288, Tata,2023,Tiago,17.42k,CNG,Manual,"12,295"," Seawood
",6.29 lakh
289, Tata,2023,TIGOR,22.04k,Petrol,Manual,"11,730"," Goregaon, Mumbai",6.00 lakh
290, Maruti,2023,New,4.48k,Petrol,Auto,"11,535"," Goregaon, Mumbai",5.90 lakh
291, Tata,2023,NEXON,16.91k,Diesel,Auto,"20,138"," Regency Anantam, Dombivli East",10.58 lakh
292, Hyundai,2023,EXTER,11.84k,Petrol,Manual,"14,565"," Seawood
",7.45 lakh
293, Tata,2023,NEXON,13.87k,Petrol,Auto,"19,034"," Goregaon, Mumbai",10.00 lakh
294, Nissan,2023,MAGNITE,45.01k,Petrol,Auto,"14,858"," Mulund West, Mumbai 
",7.60 lakh
295, Hyundai,2023,NEW,17.05k,Petrol,Auto,"15,322"," Mulund West, Mumbai 
",8.05 lakh
296, Nissan,2023,MAGNITE,14.57k,Petrol,Manual,"13,685"," Kandivali, Mumbai",7.00 lakh
297, Tata,2023,TIGOR,36.31k,CNG,Manual,"13,040"," Mulund West, Mumbai 
",6.67 lakh
298, Renault,2023,Kwid,9.18k,Petrol,Auto,"8,895"," Regency Anantam, Dombivli East",4.55 lakh
299, Maruti,2023,Alto,18.41k,Petrol,Manual,"8,309"," Regency Anantam, Dombivli East",4.25 lakh
300, Maruti,2013,Alto,38.21k,Petrol,Manual,"5,829"," Regency Anantam, Dombivli East",1.75 lakh
301, Maruti,2013,Wagon,76.23k,Petrol,Manual,"7,540"," Kandivali, Mumbai",2.27 lakh
